

== [[:Kategorie:Gestorben 2011|Auswahl bekannter Verstorbener]] ==
Für die ausführliche Liste der Verstorbenen siehe [[Nekrolog 2011]].

SidneyLumet07TIFF.jpg|9. April: [[Sidney Lumet]] (2007)
William n lipscomb jr.jpg|14. April: [[William Lipscomb]] (etwa 1980)
Grete Waitz (NYC Marathon, 2010) 2.jpg|19. April: [[Grete Waitz]] (2010)
Marie-France Pisier (1992).jpg|24. April: [[Marie-France Pisier]] (1992)
ErnestoSabato001.JPG|30. April: [[Ernesto Sabato]] (1970)
Osama bin Laden portrait.jpg|2. Mai: [[Osama bin Laden]] (1997)
Seve Ballesteros 2006-07-19.jpg|7. Mai: [[Severiano Ballesteros]] (2006)
Nobel Prize 2009-Press Conference KVA-23.jpg|7. Mai: [[Willard Boyle]] (2009)
Garret FitzGerald Lisbon 2009 crop.jpg|19. Mai: [[Garret FitzGerald]] (2009)
Randy Savage 1986.jpg|20. Mai: [[Randy Savage|„Macho Man“ Randy Savage]] (1986)
Gil Scott-Heron.jpg|27. Mai: [[Gil Scott-Heron]] (2010)
Agnes1.jpg|30. Mai: [[Biagio Agnes]] (2008)
Hans keilson2007.jpg|31. Mai: [[Hans Keilson]] (2007)
JamesArness.jpg|3. Juni: [[James Arness]] (?)
KevorkianUCLARoyce.jpg|3. Juni: [[Jack Kevorkian]] (2011)
Jorge Semprun 2009.jpg|7. Juni: [[Jorge Semprún]] (2009)
Bernhard Heisig 2008.jpg|10. Juni: [[Bernhard Heisig]] (2008)
Clarence clemons Olbrich.JPG|18. Juni: [[Clarence Clemons]] (2002)
Peter Falk1.jpg|23. Juni: [[Peter Falk]] (2007)
Sterzinsky2007.jpg|30. Juni: [[Georg Sterzinsky]] (2007)
Otto Habsburg 001.jpg|4. Juli: [[Otto von Habsburg]] (2004)
Mika Myllylä 2001.jpg|5. Juli: [[Mika Myllylä]] (2001)
Betty Ford, official White House photo color, 1974.jpg|8. Juli: [[Betty Ford]] (1974)
Friedrich Wilhelm Schnitzler 1984 Bundesverdienstkreuz der BRD.jpg|15. Juli: [[Friedrich Wilhelm Schnitzler]] (1984)
AmyWinehouseBerlin2007.jpg|23. Juli: [[Amy Winehouse]] (2007)
Nella.JPG|29. Juli: [[Nella Martinetti]] (2010)
Werner W. Wallroth ca. 1985.jpg|9. August: [[Werner W. Wallroth]] (etwa 1985)
Friedrich Schoenfelder.jpg|14. August: [[Friedrich Schoenfelder]] (?)
Loriot by Philipp von Ostau.jpg|22. August: [[Loriot]] (2011)
Wade Belak.png|31. August: [[Wade Belak]] (2009)
Herbert F. Mataré 1950.png|2. September: [[Herbert Mataré]] (1950)
Hansapel.jpg|6. September: [[Hans Apel]] (2005)
Valentin Braitenberg Portrait.jpg|9. September: [[Valentin Braitenberg]] (?)
Horst Fuhrmann.jpg|9. September: [[Horst Fuhrmann]] (?)
Cliffrobertson.jpg|10. September: [[Cliff Robertson]] (1981)
Richard Hamilton interviewed at MACBA.png|13. September: [[Richard Hamilton (Künstler)|Richard Hamilton]] (?)
Bundesarchiv B 145 Bild-F065002-0008, Bonn, CDU-Friedenskongress, Paul Mikat.jpg|24. September: [[Paul Mikat]] (1983)
Wangari Maathai no Brasil.jpg|25. September: [[Wangari Maathai]] (2006)
Hella Haasse.jpg|29. September: [[Hella Haasse]] (2007)
Steve Jobs Headshot 2010-CROP2.jpg|5. Oktober: [[Steve Jobs]] (2010)
Dennis Ritchie 2011.jpg|12. Oktober: [[Dennis Ritchie]] (2011)
Dan Wheldon 2.jpg|16. Oktober: [[Dan Wheldon]] (2010)
Bundesarchiv Bild 183-1986-0617-034, Prof. Dr. Manfred Gerlach.jpg|17. Oktober: [[Manfred Gerlach]] (1986)
Muammar al-Gaddafi at the AU summit.jpg|20. Oktober: [[Muammar al-Gaddafi]] (2009)
John McCarthy Stanford.jpg|23. Oktober: [[John McCarthy]] (2006)
Marco Simoncelli 2009 Valencia.jpg|23. Oktober: [[Marco Simoncelli]] (2009)
Brno, koncert k listopadu 1989, Jiří Gruša.jpg|28. Oktober: [[Jiří Gruša]] (2009)
Joe Frazier 2010.jpg|7. November: [[Joe Frazier]] (2010)
Har Gobind Khorana.jpg|9. November: [[Har Gobind Khorana]] (etwa 1950er)
Franz Josef Degenhardt (1987) by Guenter Prust.jpg|14. November: [[Franz Josef Degenhardt]] (1987)
Jackie Leven ss2005.jpg|14. November: [[Jackie Leven]] (2005)
Russ.Garcia.Kerikeri.jpg|20. November: [[Russell Garcia]] (2009)
Georg Kreisler detail.jpg|22. November: [[Georg Kreisler]] (2009)
Lynn Margulis.jpg|22. November: [[Lynn Margulis]] (2005)
Ludwig Hirsch Wien2008.jpg|24. November: [[Ludwig Hirsch]] (2008)
Ken Russell 2008.jpg|27. November: [[Ken Russell]] (2008)
Bundesarchiv Bild 183-1989-1027-300, Christa Wolf.jpg|1. Dezember: [[Christa Wolf]] (1989)
Socrates87660.jpg|4. Dezember: [[Sócrates (Fußballspieler)|Sócrates]] (2005)
HubertSumlin2003.jpg|4. Dezember: [[Hubert Sumlin]] (2003)
Peter Gethin, Bestanddeelnr 924-6614.jpg|5. Dezember: [[Peter Gethin]] (1971)
WalterGiller.jpg|15. Dezember: [[Walter Giller]] (1955)
Christopher Hitchens crop.jpg|15. Dezember: [[Christopher Hitchens]] (2007)
Cesária Évora 2008.jpg|17. Dezember: [[Cesária Évora]] (2008)
Kim Jong-il on August 24, 2011.jpg|17. Dezember: [[Kim Jong-il]] (2011)
Václav Havel na Václavském náměstí 17. listopadu 2009.jpg|18. Dezember: [[Václav Havel]] (2009)
Horst-Eberhard Richter 4.jpg|19. Dezember: [[Horst-Eberhard Richter]] (2010)
Johannes Heesters.jpg|24. Dezember: [[Johannes Heesters]] (2006)
James Rizzi 2008 (cropped).jpg|26. Dezember: [[James Rizzi]] (2008)
Michael Dummett September 2004.jpg|27. Dezember: [[Michael Dummett]] (2004)
Leopold-hawelka-2008.jpg|29. Dezember: [[Leopold Hawelka]] (2008)
</gallery>

== Weblinks ==
{{Commonscat|2011|2011 (Kategorie)}};Ronald Searle

<gallery>
Pete Postlethwaite.JPG|2. Januar: [[Pete Postlethwaite]] (2004)
Gerry Rafferty.jpg|4. Januar: [[Gerry Rafferty]] (1980)
Jiri Dienstbier.jpg|8. Januar: [[Jiří Dienstbier (Politiker, 1937)|Jiří Dienstbier]] (2009)
Stefanie Glaser June2009.jpg|14. Januar: [[Stephanie Glaser]] (2009)
Sargent Shriver 1961.jpg|18. Januar: [[Sargent Shriver]] (1961)
Park Wanso.jpg|22. Januar: [[Pak Wanso]] (2004)
Bernd Eichinger (cropped).jpg|24. Januar: [[Bernd Eichinger]] (2008)
PPZAHL2.jpg|24. Januar: [[Peter-Paul Zahl]] (2006)
John-barry-2006.jpg|30. Januar: [[John Barry (Filmkomponist)|John Barry]] (2006)
Maria schneider actress.jpg|3. Februar: [[Maria Schneider (Schauspielerin)|Maria Schneider]] (2001)
Gary Moore 2005.05.21 002-2.jpg|6. Februar: [[Gary Moore]] (2005)
2007-11-Helmut Ringelmann.jpg|20. Februar: [[Helmut Ringelmann]] (2007)
Suze-rotolo-1350834609.jpg|25. Februar: [[Suze Rotolo]] (2009)
Necmettin-Erbakan.jpg|27. Februar: [[Necmettin Erbakan]] (2006)
Annie Girardot Césars.jpg|28. Februar: [[Annie Girardot]] (2005)
Jane Russell LF.jpg|28. Februar: [[Jane Russell]] (2008)
Agnes-Marie Grisebach.jpg|6. März: [[Agnes-Marie Grisebach]] (2005)
Dietmar Mues.jpg|12. März: [[Dietmar Mues]] (2007)
Warren Christopher.jpg|18. März: [[Warren Christopher]] (?)
Knut IMG 8095.jpg|19. März: [[Knut (Eisbär)|Knut]] (2007)
Kurt Hauenstein Supermax Vienna 08-2008a.jpg|21. März: [[Kurt Hauenstein|Kurt „Supermax“ Hauenstein]] (2008)
Bundesarchiv Bild 183-K0516-0006-001, Madrid, Nikolai Andrianov.jpg|21. März: [[Nikolai Jefimowitsch Andrianow]] (1971)
Elizabeth Taylor36.JPG|23. März: [[Elizabeth Taylor]] (1985)
Rep. John Adler.jpg|4. April: [[John Adler]] (?)
Baruch Samuel Blumberg by Dominic Hart (NASA).jpg|5. April: [[Baruch Samuel Blumberg]] (1999)
SidneyLumet07TIFF.jpg|9. April: [[Sidney Lumet]] (2007)
William n lipscomb jr.jpg|14. April: [[William Lipscomb]] (etwa 1980)
Grete Waitz (NYC Marathon, 2010) 2.jpg|19. April: [[Grete Waitz]] (2010)
Marie-France Pisier (1992).jpg|24. April: [[Marie-France Pisier]] (1992)
ErnestoSabato001.JPG|30. April: [[Ernesto Sabato]] (1970)
Osama bin Laden portrait.jpg|2. Mai: [[Osama bin Laden]] (1997)
Seve Ballesteros 2006-07-19.jpg|7. Mai: [[Severiano Ballesteros]] (2006)
Nobel Prize 2009-Press Conference KVA-23.jpg|7. Mai: [[Willard Boyle]] (2009)
Garret FitzGerald Lisbon 2009 crop.jpg|19. Mai: [[Garret FitzGerald]] (2009)
Randy Savage 1986.jpg|20. Mai: [[Randy Savage|„Macho Man“ Randy Savage]] (1986)
Gil Scott-Heron.jpg|27. Mai: [[Gil Scott-Heron]] (2010)
Agnes1.jpg|30. Mai: [[Biagio Agnes]] (2008)
Hans keilson2007.jpg|31. Mai: [[Hans Keilson]] (2007)
JamesArness.jpg|3. Juni: [[James Arness]] (?)
KevorkianUCLARoyce.jpg|3. Juni: [[Jack Kevorkian]] (2011)
Jorge Semprun 2009.jpg|7. Juni: [[Jorge Semprún]] (2009)
Bernhard Heisig 2008.jpg|10. Juni: [[Bernhard Heisig]] (2008)
Clarence clemons Olbrich.JPG|18. Juni: [[Clarence Clemons]] (2002)
Peter Falk1.jpg|23. Juni: [[Peter Falk]] (2007)
Sterzinsky2007.jpg|30. Juni: [[Georg Sterzinsky]] (2007)
Otto Habsburg 001.jpg|4. Juli: [[Otto von Habsburg]] (2004)
Mika Myllylä 2001.jpg|5. Juli: [[Mika Myllylä]] (2001)
Betty Ford, official White House photo color, 1974.jpg|8. Juli: [[Betty Ford]] (1974)
Friedrich Wilhelm Schnitzler 1984 Bundesverdienstkreuz der BRD.jpg|15. Juli: [[Friedrich Wilhelm Schnitzler]] (1984)
AmyWinehouseBerlin2007.jpg|23. Juli: [[Amy Winehouse]] (2007)
Nella.JPG|29. Juli: [[Nella Martinetti]] (2010)
Werner W. Wallroth ca. 1985.jpg|9. August: [[Werner W. Wallroth]] (etwa 1985)
Friedrich Schoenfelder.jpg|14. August: [[Friedrich Schoenfelder]] (?)
Loriot by Philipp von Ostau.jpg|22. August: [[Loriot]] (2011)
Wade Belak.png|31. August: [[Wade Belak]] (2009)
Herbert F. Mataré 1950.png|2. September: [[Herbert Mataré]] (1950)
Hansapel.jpg|6. September: [[Hans Apel]] (2005)
Valentin Braitenberg Portrait.jpg|9. September: [[Valentin Braitenberg]] (?)
Horst Fuhrmann.jpg|9. September: [[Horst Fuhrmann]] (?)
Cliffrobertson.jpg|10. September: [[Cliff Robertson]] (1981)
Richard Hamilton interviewed at MACBA.png|13. September: [[Richard Hamilton (Künstler)|Richard Hamilton]] (?)
Bundesarchiv B 145 Bild-F065002-0008, Bonn, CDU-Friedenskongress, Paul Mikat.jpg|24. September: [[Paul Mikat]] (1983)
Wangari Maathai no Brasil.jpg|25. September: [[Wangari Maathai]] (2006)
Hella Haasse.jpg|29. September: [[Hella Haasse]] (2007)
Steve Jobs Headshot 2010-CROP2.jpg|5. Oktober: [[Steve Jobs]] (2010)
Dennis Ritchie 2011.jpg|12. Oktober: [[Dennis Ritchie]] (2011)
Dan Wheldon 2.jpg|16. Oktober: [[Dan Wheldon]] (2010)
Bundesarchiv Bild 183-1986-0617-034, Prof. Dr. Manfred Gerlach.jpg|17. Oktober: [[Manfred Gerlach]] (1986)
Muammar al-Gaddafi at the AU summit.jpg|20. Oktober: [[Muammar al-Gaddafi]] (2009)
John McCarthy Stanford.jpg|23. Oktober: [[John McCarthy]] (2006)
Marco Simoncelli 2009 Valencia.jpg|23. Oktober: [[Marco Simoncelli]] (2009)
Brno, koncert k listopadu 1989, Jiří Gruša.jpg|28. Oktober: [[Jiří Gruša]] (2009)
Joe Frazier 2010.jpg|7. November: [[Joe Frazier]] (2010)
